cell,s_start_m,s_end_m,s_centre_m,cell_size_m
104,6085.340801960125,6198.423939122342,6141.882370541233,113.0831371622171
105,6198.423939122342,6314.28445099084,6256.3541950565905,115.86051186849818
106,6314.28445099084,6432.816858374988,6373.550654682915,118.53240738414843
107,6432.816858374988,6553.892363427205,6493.354610901097,121.07550505221661
108,6553.892363427205,6677.359283423849,6615.625823425527,123.46691999664381
109,6677.359283423849,6803.043824119311,6740.20155377158,125.68454069546169
110,6803.043824119311,6930.751191385716,6866.897507752514,127.70736726640553
111,6930.751191385716,7060.267032664529,6995.509112025123,129.51584127881324
112,7060.267032664529,7191.35919254336,7125.813112603944,131.0921598788309
113,7191.35919254336,7323.779759733217,7257.569476138289,132.42056718985714
114,7323.779759733217,7457.267376060116,7390.5235678966665,133.4876163268982
115,7457.267376060116,7591.549771995824,7524.40857402797,134.28239593570834
116,7591.549771995824,7726.346487917036,7658.94812995643,134.79671592121213
117,7726.346487917036,7861.371735861851,7793.859111889444,135.02524794481542
118,7861.371735861851,7996.337353182217,7928.854544522034,134.9656173203657
119,7996.337353182217,8130.955797274646,8063.646575228431,134.61844409242894
120,8130.955797274646,8264.943129577889,8197.949463426266,133.9873323032425
121,8264.943129577889,8398.021937286021,8331.482533431954,133.07880770813244
122,8398.021937286021,8529.924142730646,8463.973040008334,131.902205444625
123,8529.924142730646,8660.393653089763,8595.158897910205,130.4695103591166
124,8660.393653089763,8789.188806899936,8724.79122999485,128.79515381017336
125,8789.188806899936,8916.08457866516,8852.636692782547,126.89577176522471
126,8916.08457866516,9040.87450852385,8978.479543594505,124.78992985868899
127,9040.87450852385,9163.372330284108,9102.123419403979,122.49782176025838
128,9163.372330284108,9283.413277978785,9223.392804131447,120.04094769467702
129,9283.413277978785,9400.855058226776,9342.13416810278,117.44178024799112
130,9400.855058226776,9515.57848291324,9458.216770570009,114.72342468646457
131,9515.57848291324,9627.48776381888,9571.53312336606,111.9092809056383
132,9627.48776381888,9736.510477648191,9681.999120733535,109.02271382931212
133,9736.510477648191,9842.597216254797,9789.553846951494,106.08673860660565
134,9842.597216254797,9945.720942586175,9894.159079420486,103.12372633137784
135,9945.720942586175,10045.876077844085,9995.798510215129,100.15513525790993
136,10045.876077844085,10143.077349481937,10094.47671366301,97.20127163785219
137,10143.077349481937,10237.358432869323,10190.217891175631,94.28108338738639
138,10237.358432869323,10328.770421710382,10283.064427289853,91.4119888410587
139,10328.770421710382,10417.380163601232,10373.075292655807,88.60974189085027
140,10417.380163601232,10503.268497476172,10460.324330538702,85.88833387494014
141,10503.268497476172,10586.528429173155,10544.898463324664,83.25993169698268
142,10586.528429173155,10667.26328001953,10626.895854596343,80.73485084637468
143,10667.26328001953,10745.584841292495,10706.424060656012,78.32156127296548
144,10745.584841292495,10821.61156475218,10783.598203022339,76.02672345968494
145,10821.61156475218,10895.466816296746,10858.539190524463,73.85525154456627
146,10895.466816296746,10967.277216271388,10931.372016284067,71.81039997464177
147,10967.277216271388,11037.171086200437,11002.224151235912,69.89386992904838
148,11037.171086200437,11105.277017824812,11071.224052012625,68.10593162437544
149,11105.277017824812,11171.722576429444,11138.499797127128,66.44555860463151
150,11171.722576429444,11236.633146640532,11204.177861534987,64.91057021108827
151,11236.633146640532,11300.130925252053,11268.382035946292,63.497778611521426
152,11300.130925252053,11362.334062280994,11331.232493766523,62.203137028940546
153,11362.334062280994,11423.355948413104,11392.845005347048,61.02188613211001
154,11423.355948413104,11483.304644330854,11453.33029637198,59.94869591775023
155,11483.304644330854,11542.282445142348,11512.7935447366,58.97780081149358
156,11542.282445142348,11600.385571269322,11571.334008205835,58.10312612697453
157,11600.385571269322,11657.703975704957,11629.04477348714,57.318404435634875
158,11657.703975704957,11714.321256506932,11686.012616105945,56.61728080197463
159,11714.321256506932,11770.314662726592,11742.317959616761,55.993406219660756
160,11770.314662726592,11825.755181661054,11798.034922193823,55.44051893446158
161,11825.755181661054,11880.70769531535,11853.231438488201,54.952513654296126
162,11880.70769531535,11935.23119423536,11907.969444775355,54.52349892001075
163,11935.23119423536,11989.379037375826,11962.305115805593,54.14784314046483
164,11989.379037375826,12043.19924735702,12016.289142366422,53.82020998119515
165,12043.19924735702,12096.734831295218,12069.967039326119,53.535583938197306
166,12096.734831295218,12150.024118324282,12123.37947480975,53.289287029063416
167,12150.024118324282,12203.101105920163,12176.562612122223,53.07698759588129
168,12203.101105920163,12255.995808162259,12229.548457041212,52.89470224209617
169,12255.995808162259,12308.734600085056,12282.365204123656,52.738791922796736
170,12308.734600085056,12361.340553264932,12335.037576674993,52.60595317987645
171,12361.340553264932,12413.833758729405,12387.587155997167,52.49320546447234
172,12413.833758729405,12466.231634153575,12440.032696441489,52.39787542417071
173,12466.231634153575,12518.549213109229,12492.390423631401,52.31757895565352
174,12518.549213109229,12570.799414848609,12544.674313978918,52.25020173937992
175,12570.799414848609,12622.993293733163,12596.896354290886,52.19387888455458
176,12622.993293733163,12675.140267957091,12649.066780845127,52.14697422392783
177,12675.140267957091,12727.248327667921,12701.194297812506,52.108059710830275
178,12727.248327667921,12779.324222955895,12753.286275311908,52.07589528797325
179,12779.324222955895,12831.373632476092,12805.348927715993,52.049409520197514
180,12831.373632476092,12883.401313688908,12857.387473082501,52.02768121281588
181,12883.401313688908,12935.411235863181,12909.406274776044,52.009922174273015
182,12935.411235863181,12987.4066970899,12961.408966476542,51.99546122671927
183,12987.4066970899,13039.390426610897,13013.398561850398,51.98372952099635
184,13039.390426610897,13091.36467378398,13065.377550197438,51.97424717308422
185,13091.36467378398,13143.331284991005,13117.347979387494,51.96661120702447
186,13143.331284991005,13195.291769755017,13169.31152737301,51.9604847640112
187,13195.291769755017,13247.247357273114,13221.269563514066,51.95558751809767
188,13247.247357273114,13299.199044498422,13273.223200885768,51.95168722530798
189,13299.199044498422,13351.147636822054,13325.173340660238,51.9485923236316
